"subj","age","sex","N000","N024","N072","N216","P000","P024","P072","P216","Z000","Z024","Z072","Z216","CD","IA","IN","total","UE"
1,"20","female",-8,-6,0,6,2,6,5,8,-1,1,4,5,10,0,7,18,1
2,"20","female",-7,-5,0,7,6,6,7,9,-3,2,6,9,11,5,6,28,6
3,"21","female",-8,-7,-4,0,-5,3,7,5,-7,-2,-6,3,10,6,7,34,11
4,"19","male",-9,-3,-3,-2,0,3,7,3,0,-5,0,3,6,0,3,12,3
5,"20","female",-9,-5,2,8,1,3,3,8,-6,1,5,8,5,3,2,11,1
6,"19","male",-9,-8,2,7,5,5,7,9,-2,0,6,8,1,1,0,5,3
7,"38","female",-9,-4,1,8,2,5,3,9,-1,0,1,5,11,4,7,28,6
8,"23","male",-10,0,-10,-10,4,6,6,8,-1,-6,-4,-6,0,2,2,5,1
9,"19","male",-9,-6,0,7,3,7,7,9,-3,-1,3,8,4,2,3,11,2
10,"21","female",-8,-3,4,-2,6,-3,5,8,-3,0,0,6,1,2,5,8,0
11,"20","female",-2,-5,-7,-3,7,6,5,3,2,-4,3,-3,5,1,4,18,8
12,"20","female",-8,-8,-9,-7,1,2,0,1,-2,-5,-4,0,9,5,3,20,3
13,"20","male",-7,-7,-9,-8,9,9,6,5,4,2,3,-2,6,1,7,21,7
14,"20","male",-9,-3,3,5,4,7,8,9,-4,0,5,4,10,4,2,18,2
15,"20","male",-9,-5,-6,-4,9,8,9,9,4,5,6,7,3,2,2,10,3
16,"20","female",-8,-4,3,7,3,3,2,8,0,1,2,8,11,5,8,31,7
17,"20","male",-9,-7,1,8,8,8,9,10,-7,-1,5,8,5,6,1,13,1
18,"20","female",-8,-5,-3,-5,7,2,3,3,-4,4,-2,-1,6,1,3,14,4
19,"19","female",-6,-8,-3,-7,4,5,3,2,-3,-3,-4,2,3,1,3,7,0
20,"19","female",-8,-9,-9,-8,6,6,5,7,3,4,3,4,10,4,3,22,5
21,"20","female",-10,-9,-9,-7,6,5,4,8,-2,-3,3,0,8,0,1,13,4
22,"19","male",-9,-6,1,7,4,4,5,8,-3,-2,3,7,9,2,3,22,8
23,"19","female",-5,-7,-4,7,3,5,5,7,0,3,9,7,1,0,0,4,3
24,"21","female",-6,-4,-8,-7,7,6,7,3,-2,1,0,0,4,1,5,16,6
25,"21","male",-7,-9,-7,-10,10,6,7,8,2,4,-4,-1,7,3,2,20,8
26,"20","male",2,-5,-6,NA,5,8,7,6,4,4,3,5,6,1,4,17,6
27,"20","male",-7,-6,-8,-7,-1,0,2,8,0,5,3,4,1,1,2,4,0
28,"19","male",-8,-8,-5,-7,3,6,4,4,4,-5,-3,-3,7,5,1,13,0
29,"19","male",-9,-6,3,6,7,6,8,9,3,5,7,9,5,1,1,9,2
30,"20","male",-6,-7,-6,3,3,2,6,8,-2,0,4,-3,3,0,4,11,4
31,"21","female",-7,-6,-6,-3,3,5,1,1,0,0,-2,7,5,5,4,15,1
32,"21","male",-9,-5,3,2,-4,4,7,8,-5,5,4,6,11,3,4,21,3
33,"21","male",-10,-3,-5,8,1,4,5,9,0,1,8,7,0,3,2,7,2
34,"19","female",-9,-7,-8,-9,6,5,5,7,-1,-3,-5,-8,9,0,5,16,2
35,"20","female",-2,-6,-8,-3,-1,8,2,5,2,4,0,-2,6,1,5,18,6
36,"20","female",-9,-7,-1,-7,5,7,8,7,-4,7,1,10,8,1,6,18,3
37,"22","male",-9,-6,-6,-7,4,4,6,2,0,2,-3,0,2,2,6,11,1
38,"20","female",-9,-7,0,8,8,7,8,9,-3,2,6,8,8,1,3,16,4
39,"21","male",-9,-4,-2,7,2,4,5,8,-5,0,2,6,5,0,0,6,1
40,"19","female",-9,-4,-4,6,0,5,9,9,0,5,3,7,9,2,5,23,7
41,"20","male",-9,-9,-9,-9,4,4,4,3,-5,-2,-2,-7,10,3,7,23,3
42,"20","female",-9,-4,-7,5,7,8,6,9,-3,-1,2,8,1,2,2,5,0
43,"19","female",-9,-6,0,4,3,3,4,6,2,0,9,8,11,10,10,43,12
44,"20","male",4,-6,-5,-9,6,7,5,8,5,-4,-8,-3,11,3,6,28,8
45,"19","female",-9,-3,-4,2,4,4,7,8,-2,-1,-2,8,10,4,6,28,8
